field7,field8,error_code
AUTHNEGATIVE,50698 | The transaction type of the referenced transaction is incompatible with the current transaction.,E1903     
AUTHNEGATIVE,12009 | Acquirer Switch Timeout,E231      
AUTHNEGATIVE,Lost Card,E1903     
AUTHPOSITIVE,00 | ,E000      
AUTHNEGATIVE,19 | Re-enter Transaction,E345      
AUTHNEGATIVE,GenerateOtp Failure - 96 : SYSTEM ERROR,E1903     
AUTHNEGATIVE,8 | Transaction Timed Out,E1636     
AUTHNEGATIVE,001 | Field [amount] with value [51] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,58 | Transaction not allowed at terminal,E1642     
AUTHNEGATIVE,13008 | Suspected fraud,E1206     
AUTHNEGATIVE,96 | System malfunction | We encountered a problem with Rupay processor: Session expired for this transaction,E4158     
AUTHNEGATIVE,96 | System Error,E1703     
AUTHNEGATIVE,10024 | Bad Expiry Date passed!,E1101     
AUTHNEGATIVE,13007 | INVALID CVV2,E231      
AUTHNEGATIVE,UNKNOWN,E500      
AUTHPOSITIVE,,E000      
AUTHERROR,,E209      
AUTHNEGATIVE,04 | Pick-up,E310      
AUTHNEGATIVE,01 | Refer to card issuer,E1703     
AUTHNEGATIVE,VERIP03 | UNKNOWN,E500      
AUTHPOSITIVE,0 | Transaction Completed,
AUTHNEGATIVE,10004 | domestic/International CardFlag or credit/debit card flag not avalible for pan.,E1703     
AUTHNEGATIVE,001 | Field [amount] with value [34] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,50715 | Referenced transaction not found,E231      
AUTHNEGATIVE,N7 | Customer selected negative file reason,E308      
AUTHNEGATIVE,001 | Field [amount] with value [88] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,FSS00003 | FSS00003-Only Debit Card Allowed.,E500      
AUTHNEGATIVE,RNF | Request Not Found,E1206     
AUTHERROR,"Cannot invoke ""com.payu.cardsservice.cards.dto.response.common.FormPost.getPostUri()"" because the return value of ""com.payu.cardsservice.cards.dto.response.common.Data.getFormPost()"" is null",E1903     
AUTHNEGATIVE,"10024 | duplicate request, another txn already SUCCESS with same details",E231      
AUTHNEGATIVE,15092 | no routing available,E1624     
AUTHNEGATIVE,IPAY0100042 - Transaction time limit exceeds.,E1903     
AUTHNEGATIVE,53 | Authorisation declined by bank,E707      
AUTHNEGATIVE,59 | Suspected fraud,E6009     
AUTHNEGATIVE,GenerateOtp Failure - 413 : INVALID CVD2,E1903     
AUTHNEGATIVE,001 | Field [amount] with value [42] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,IPAY0100073 - Transaction denied due to invalid CVV.,E1903     
AUTHNEGATIVE,001 | Shop 85997502 has been closed.,E1903     
AUTHNEGATIVE,Invalid Input Parameter For Tokenized Transaction:T||1630|M|C| | UNKNOWN,E500      
AUTHNEGATIVE, | UNKNOWN,E231      
AUTHNEGATIVE,System Error,E1903     
AUTHNEGATIVE,CI | Issuer Compliance,E9232     
AUTHNEGATIVE,CheckBinFailure - 410:Invalid BIN,E1903     
AUTHNEGATIVE,12001 | Invalid response,E205      
AUTHNEGATIVE,3DS2004 | UNKNOWN,E500      
AUTHNEGATIVE,001 | Field [amount] with value [48] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,IPAY0100357 | IPAY0100357-Transaction declined due to OTP Page refreshed.,E000      
AUTHNEGATIVE,"10024 | Transaction is in _3ds_start status, cannot authorize",E1101     
AUTHNEGATIVE,Authorise Failure : 12 : Invalid transaction,E1903     
AUTHNEGATIVE,50819 | Transaction state is invalid,E000      
AUTHNEGATIVE,60 | Card Acceptor Contact Acquirer,E337      
AUTHNEGATIVE,GW00159 | Missing card number,E1903     
AUTHNEGATIVE,Exceeds withdrawal amount limits,E1903     
AUTHNEGATIVE,001 | Field [amount] with value [10] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,T8 | Invalid account,E1206     
AUTHNEGATIVE,C5 | Retry Txn,E500      
AUTHNEGATIVE,05,
AUTHNEGATIVE,GenerateOtp Failure,E1903     
AUTHNEGATIVE,DUE | Charge status: DUE,E1206     
AUTHNEGATIVE,10004 | INTERNAL_SERVER_ERROR | Internal Server Error,E1903     
AUTHNEGATIVE, | ,E308      
AUTHNEGATIVE,Invalid Input Parameter For Tokenized Transaction:T||6444|V|C| | UNKNOWN,E500      
AUTHNEGATIVE,N4 | Maximum off-line refund reached | Decline - The card has reached the credit limit.,E9241     
AUTHNEGATIVE,T2 | UNKNOWN,E500      
AUTHNEGATIVE,DUE | 3DS timeout,E231      
AUTHNEGATIVE,43,E310      
AUTHNEGATIVE,OTP Resend Attempts Exceeded,E1903     
AUTHNEGATIVE,001 | Field [amount] with value [36] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,94 | Duplicate Transaction,E504      
AUTHNEGATIVE,Invalid Input Parameter For Tokenized Transaction:T||3505|V|C| | UNKNOWN,E500      
AUTHNEGATIVE,"Blc|204 | Response unknown - Value '540841xxxxxx0130' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E1703     
AUTHNEGATIVE,81 | Cryptographic Error | Decline - Blocked by cardholder/contact cardholder.,E9223     
AUTHNEGATIVE,001 | Field [amount] with value [76] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE, | ,E231      
AUTHNEGATIVE,Invalid Input Parameter For Tokenized Transaction:T||9820|M|C| | UNKNOWN,E500      
AUTHNEGATIVE,Invalid Input Parameter For Tokenized Transaction:T||4751|V|C| | UNKNOWN,E500      
AUTHNEGATIVE,12001 | INVALID_TOKEN_PAN,E205      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E715      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E504      
